nombre_central,tipo_tecnologia,potencia_instalada_mw,provincia
SOLALBAN,Termica,,BUENOS AIRES
GUILLERMO BROWN,Termica,582.6,BUENOS AIRES
AES-PARANA,Termica,24.25,BUENOS AIRES
AES-PARANA,Termica,319.3,BUENOS AIRES
AES-PARANA,Termica,525.96,BUENOS AIRES
SAN NICOLAS,Termica,25,BUENOS AIRES
SAN NICOLAS,Termica,650,BUENOS AIRES
ACEROS PARANA,Termica,,BUENOS AIRES
JUNIN,Termica,22,BUENOS AIRES
CAPITAN SARMIEN,Termica,5,BUENOS AIRES
SIDERCA,Sin Tecnologia declarada,,BUENOS AIRES
LOBOS ENARSA,Termica,19.68,BUENOS AIRES
GRAL BELGRANO,Termica,285.98,BUENOS AIRES
GRAL BELGRANO,Termica,587.02,BUENOS AIRES
MAR DE AJO,Termica,30,BUENOS AIRES
VILLA GESELL,Termica,45,BUENOS AIRES
VILLA GESELL,Termica,80,BUENOS AIRES
ALTE BROWN ENAR,Termica,25,BUENOS AIRES
MAGDALENA ENARS,Termica,25,BUENOS AIRES
ENSE. BARRAGAN,Termica,567,BUENOS AIRES
CO. ENSENADA,Termica,128,BUENOS AIRES
LA PLATA,Termica,40.4,BUENOS AIRES
DIQUE,Termica,55,BUENOS AIRES
DOCK SUD,Termica,284.6,BUENOS AIRES
DOCK SUD,Termica,512.9,BUENOS AIRES
DOCK SUD,Termica,72,BUENOS AIRES
S.VICENTE BSAS,Termica,27.6,BUENOS AIRES
AUTOPROD.SHELL,Termica,,BUENOS AIRES
COSTANERA,Termica,1131,CIUDAD AUTONOMA DE BUENOS
COSTANERA,Termica,322.2,CIUDAD AUTONOMA DE BUENOS
COSTANERA,Termica,528.8,CIUDAD AUTONOMA DE BUENOS
C.T. GENELBA,Termica,182.05,BUENOS AIRES
C.T. GENELBA,Termica,187.56,BUENOS AIRES
C.T. GENELBA,Termica,193.63,BUENOS AIRES
C.T. GENELBA,Termica,230.88,BUENOS AIRES
C.T. GENELBA,Termica,453.52,BUENOS AIRES
NUEVO PUERTO,Termica,282,CIUDAD AUTONOMA DE BUENOS
NUEVO PUERTO,Termica,390,CIUDAD AUTONOMA DE BUENOS
NUEVO PUERTO,Termica,516,CIUDAD AUTONOMA DE BUENOS
PUERTO NUEVO,Termica,589,CIUDAD AUTONOMA DE BUENOS
S.MIGUEL N ENAR,Biogas,11.5,BUENOS AIRES
BUENOS AIRES,Termica,103.1,CIUDAD AUTONOMA DE BUENOS
BUENOS AIRES,Termica,218.5,CIUDAD AUTONOMA DE BUENOS
MOTORES COSTANE,Termica,35.6,CIUDAD AUTONOMA DE BUENOS
EL JUME,Eolica,8,SANTIAGO DEL ESTERO
SALTOII SOENERG,Termica,63,BUENOS AIRES
MATHEU APR ENER,Termica,229,BUENOS AIRES
CAIMANCITO,Termica,91,JUJUY
BRAGADO II,Termica,58.5,BUENOS AIRES
BRAGADO III,Termica,61.2,BUENOS AIRES
G ROJO R.ENERGY,Termica,150999,BUENOS AIRES
G ROJO R.ENERGY,Termica,50.6,BUENOS AIRES
G ROJO R.ENERGY,Termica,57.05,BUENOS AIRES
PEREZ SECCO,Termica,81088,SANTA FE
CAÑADA DE GOMEZ,Termica,67232,SANTA FE
VILLA OCAMPO,Termica,50.35,SANTA FE
CB YANQUETRUZ,Biogas,1.5,SAN LUIS
RENOVA ALBANESI,Termica,172,SANTA FE
PILAR BSAS,Termica,100398,BUENOS AIRES
AG PTO ESPERANZ,Biomasa,,MISIONES
H RIO ESCONDIDO,Hidroelectrica (Menor a 50 Mw),7.2,RIO NEGRO
CT ANCHORI METH,Termica,40,MENDOZA
CT EZEIZA,Termica,102.1,BUENOS AIRES
CT EZEIZA,Termica,50,BUENOS AIRES
LOMA CAMPANA,Termica,105,NEUQUEN
BARKER UGENERGY,Termica,141.99,BUENOS AIRES
BARKER UGENERGY,Termica,50.9,BUENOS AIRES
BARKER UGENERGY,Termica,54.95,BUENOS AIRES
MOTOR. B.BLANCA,Termica,100.02,BUENOS AIRES
